id,Song,Artist,Song_ASCII,Artist_ASCII,Cover Artist,Date,Album,Album_ID,Image,File_IN,Hash_IN,Flags,Key,Tempo (1/4 beat),Version
37,テオ (Teo),Omoi,Teo,Omoi,Neuro [v1],2023-03-05,Neuro [v1] March Stream Songs,5,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/038. Omoi - テオ (Teo) (Neuro.v1).mp3,6f038fb23baf392d,v1;neuro;,,,1
38,ぽっぴっぽー (PoPiPo),LamazeP,PoPiPo,LamazeP,Neuro [v1],2023-03-06,Neuro [v1] March Stream Songs,6,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/039. LamazeP - ぽっぴっぽー (PoPiPo) (Neuro.v1).mp3,3862c71259dbddad,v1;neuro;,,,1
39,I Kissed a Girl,Katy Perry,I Kissed a Girl,Katy Perry,Neuro [v1],2023-03-07,Neuro [v1] March Stream Songs,7,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/040. Katy Perry - I Kissed a Girl (Neuro.v1).mp3,3c8e173b80299d32,v1;neuro;,,,1
40,Pompeii,Bastille,Pompeii,Bastille,Neuro [v1],2023-03-08,Neuro [v1] March Stream Songs,8,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/041. Bastille - Pompeii (Neuro.v1).mp3,37a9cd80fdf6748c,v1;neuro;,,,1
41,39みゅーじっく！ (39 Music!),mikitoP,39 Music,mikitoP,Neuro [v1],2023-03-09,Neuro [v1] March Stream Songs,9,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/042. mikitoP - 39みゅーじっく！ (39 Music!) (Neuro.v1).mp3,befb05eed09fe818,v1;neuro;,,,1
42,Gee (JP ver.),Girls' Generation,Gee (JP ver.),Girls Generation,Neuro [v1],2023-03-10,Neuro [v1] March Stream Songs,10,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/043. Girls' Generation - Gee (JP ver.) (Neuro.v1).mp3,92e44c0613fe5e65,v1;neuro;,,,1
43,Bad Apple!!,"Alstroemeria Records, nomico",Bad Apple!!,"Alstroemeria Records, nomico",Neuro [v1],2023-03-12,Neuro [v1] March Stream Songs,11,2023-Mar,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/044. Alstroemeria Records, nomico - Bad Apple!! (Neuro.v1).mp3",bbc96b614326a593,v1;neuro;,,,1
44,Radioactive,Imagine Dragons,Radioactive,Imagine Dragons,Neuro [v1],2023-03-13,Neuro [v1] March Stream Songs,12,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/045. Imagine Dragons - Radioactive (Neuro.v1).mp3,11fbc1614048cb18,v1;neuro;,,,1
45,Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Carly Rae Jepsen,Neuro [v1],2023-03-14,Neuro [v1] March Stream Songs,13,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/046. Carly Rae Jepsen - Call Me Maybe (Neuro.v1).mp3,b1ea701dfa6ef765,v1;neuro;,,,1
46,Pokémon Theme (Gotta catch 'em all!),"John Siegler, Jason Paige",Gotta catch em all,"John Siegler, Jason Paige",Neuro [v1],2023-03-15,Neuro [v1] March Stream Songs,14,2023-Mar,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/047. John Siegler, Jason Paige - Pokémon Theme (Gotta catch 'em all!) (Neuro.v1).mp3",4f2bf6f7d66c786f,v1;neuro;,,,1
47,ベノム (Venom),Kairiki Bear,Venom,Kairiki Bear,Neuro [v1],2023-03-16,Neuro [v1] March Stream Songs,15,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/048. Kairiki Bear - ベノム (Venom) (Neuro.v1).mp3,a63af3f1735ca077,v1;neuro;,,,1
